depth,trees,class_weight,undersampling,threshold,accuracy_mean,FAR_mean,FRR_mean,accuracy_std,FAR_std,FRR_std
30.0,600,balanced,True,0.5,0.9865079365079366,0.003333333333333333,0.21666666666666665,0.015286793876395423,0.008498365855987974,0.2640496586292476
,100,balanced,True,0.5,0.9865079365079366,0.004166666666666667,0.2,0.016854571890155004,0.011636866703140788,0.2449489742783178
10.0,100,balanced,True,0.5,0.9865079365079366,0.004166666666666667,0.2,0.016854571890155004,0.011636866703140788,0.2449489742783178
20.0,100,balanced,True,0.5,0.9865079365079366,0.004166666666666667,0.2,0.016854571890155004,0.011636866703140788,0.2449489742783178
30.0,100,balanced,True,0.5,0.9865079365079366,0.004166666666666667,0.2,0.016854571890155004,0.011636866703140788,0.2449489742783178
,100,balanced,False,0.15,0.9865079365079366,0.009166666666666667,0.1,0.016854571890155007,0.01622326861160982,0.15275252316519466
10.0,100,balanced,False,0.15,0.9865079365079366,0.009166666666666667,0.1,0.016854571890155007,0.01622326861160982,0.15275252316519466
20.0,100,balanced,False,0.15,0.9865079365079366,0.009166666666666667,0.1,0.016854571890155007,0.01622326861160982,0.15275252316519466
30.0,100,balanced,False,0.15,0.9865079365079366,0.009166666666666667,0.1,0.016854571890155007,0.01622326861160982,0.15275252316519466
,300,balanced,True,0.5,0.9857142857142858,0.004166666666666667,0.21666666666666665,0.017315416054977325,0.011636866703140788,0.2640496586292476
10.0,300,balanced,True,0.5,0.9857142857142858,0.004166666666666667,0.21666666666666665,0.017315416054977325,0.011636866703140788,0.2640496586292476
20.0,300,balanced,True,0.5,0.9857142857142858,0.004166666666666667,0.21666666666666665,0.017315416054977325,0.011636866703140788,0.2640496586292476
30.0,300,balanced,True,0.5,0.9857142857142858,0.004166666666666667,0.21666666666666665,0.017315416054977325,0.011636866703140788,0.2640496586292476
,100,,False,0.5,0.984920634920635,0.0,0.3166666666666666,0.016245626579729156,0.0,0.34115815817431205
,300,,False,0.5,0.984920634920635,0.0,0.3166666666666666,0.016245626579729156,0.0,0.34115815817431205
10.0,100,,False,0.5,0.984920634920635,0.0,0.3166666666666666,0.016245626579729156,0.0,0.34115815817431205
10.0,300,,False,0.5,0.984920634920635,0.0,0.3166666666666666,0.016245626579729156,0.0,0.34115815817431205
20.0,100,,False,0.5,0.984920634920635,0.0,0.3166666666666666,0.016245626579729156,0.0,0.34115815817431205
20.0,300,,False,0.5,0.984920634920635,0.0,0.3166666666666666,0.016245626579729156,0.0,0.34115815817431205
30.0,100,,False,0.5,0.984920634920635,0.0,0.3166666666666666,0.016245626579729156,0.0,0.34115815817431205
30.0,300,,False,0.5,0.984920634920635,0.0,0.3166666666666666,0.016245626579729156,0.0,0.34115815817431205
,100,,False,0.3,0.984920634920635,0.004166666666666667,0.2333333333333333,0.013723505131579834,0.007216878364870322,0.2603416558635552
,600,,False,0.3,0.984920634920635,0.004166666666666667,0.2333333333333333,0.013723505131579834,0.007216878364870322,0.2603416558635552
10.0,100,,False,0.3,0.984920634920635,0.004166666666666667,0.2333333333333333,0.013723505131579834,0.007216878364870322,0.2603416558635552
10.0,600,,False,0.3,0.984920634920635,0.004166666666666667,0.2333333333333333,0.013723505131579834,0.007216878364870322,0.2603416558635552
20.0,100,,False,0.3,0.984920634920635,0.004166666666666667,0.2333333333333333,0.013723505131579834,0.007216878364870322,0.2603416558635552
